Timestamp,Are you a student or faculty/staff member at SFUHS?,What is your age?,What grade are you in?,How closely do you follow local (San Francisco) politics?,How closely do you follow federal politics?,How much influence do you feel you have in local elections?,How much influence do you feel you have in federal elections?,How often do your political views align with your parents or guardians?,Would you support lowering the local voting age to 16 in San Francisco?,Would you support lowering the federal voting age to 16?,Briefly explain your answers above.,"If you could vote in SF city elections right now, how likely would you be to vote?",Do you think SF 16–18 year olds are informed/mature enough to make local voting decisions?,Do you think SF 16–18 year olds are informed/mature enough to make federal voting decisions?,"Write anything you know about the current SF mayor -  their agenda, priorities, or recent activity. No worries if you don't know much.",Where do you primarily get your news from? (Select all that apply),What subject area do you primarily teach or work in?,How many years have you worked in education?,How closely do you follow local (San Francisco) politics?,How closely do you follow federal politics?,Would you support lowering the local voting age to 16 in San Francisco?,Would you support lowering the federal voting age to 16?,Briefly explain your answers above.,"Based on your experience with your students, do you think 16–18 year olds are informed and mature enough to make local voting decisions?","Based on your experience with your students, do you think 16–18 year olds are informed and mature enough to make federal voting decisions?",Briefly explain your reasoning on student voting readiness.,What civic knowledge or skills do you think matter most for voting decisions?,Where do you primarily get your news from? (Select all that apply)
4/20/2026 10:09:47,Faculty or Staff,Adult,,4,5,,,,Yes,Yes,,,,,,,Language,20+,4,5,Yes,Yes,"The earlier that citizens engage in determining their future via politics, the better. ",3,3,"Because they do not have the right to vote, they disengage. Knowing that they will vote will propel them to know how their lives may be impacted negatively if they are not informed. ","Community engagement is crucial for understanding what is happening in the city. On a national level, reading news not on IG - reliable news - is critical. ","Traditional news (NYT, WSJ, SF Chronicle)"
4/20/2026 10:14:38,Student,16,10,2,4,2,4,4,Yes,No,"I feel like the youth have a lot of involvement in local politics, and would make more of an impact in local politics. Also, I think that it’s better that voters are older when they vote federally because they have more experience and it impacts the country as a whole.",4,2,3,,"YouTube, Traditional news (NYT, WSJ, SF Chronicle), Family or friends, School",,,,,,,,,,,,
4/20/2026 10:26:16,Student,16,10,3,4,2,1,3,Yes,Yes,"I feel like it is good nowadays that a lot of people, especially with social media at 16, have distinct, unique opinions that they could share by voting. ",5,4,3,I know he is a Democrat. I know he has a lot of progressive policies and is focusing on cleaning up the drug and homelessness. ,"Social media (TikTok, Instagram, X), YouTube, Traditional news (NYT, WSJ, SF Chronicle), Family or friends, Other",,,,,,,,,,,,
4/20/2026 11:13:07,Student,17,11,3,5,1,1,4,No,No,No reason you are too young,4,2,2,,"Podcasts, Traditional news (NYT, WSJ, SF Chronicle)",,,,,,,,,,,,
4/20/2026 11:17:40,Student,17,11,2,3,1,1,5,No,No,I don't feel adequately educated.,1,1,1,The current SF mayor is Daniel Lurie and he's been doing a lot to address homelessness in the city.,"Family or friends, School",,,,,,,,,,,,
4/20/2026 11:18:38,Student,16,11,2,2,1,1,4,No,No,"I am not politically active or educated enough. Also, children are so gullible and hormonal and politicians would easily use them to their advantage. ",2,2,2,From what I know Lurie is a more moderate democrat. ,"Traditional news (NYT, WSJ, SF Chronicle), Family or friends",,,,,,,,,,,,
4/20/2026 11:22:44,Faculty or Staff,Adult,,3,4,,,,No,No,,,,,,,History,20+,3,4,No,No,"I think there are already too many underinformed voters, and would not support this unless it were part of a larger program of voter education.",3,2,"voting age is arbitrary anyway (used to be 21 until the Vietnam War), but this just strikes me as giving people without that much information or background a power that they don't quite understand",being informed and thoughtful and not making knee-jerk decisions,"Podcasts, Traditional news (NYT, WSJ, SF Chronicle), Family or friends"
4/20/2026 11:27:32,Student,16,10,2,2,1,1,5,No,No,16 year olds not responsible enough,5,1,1,,"Traditional news (NYT, WSJ, SF Chronicle), Family or friends",,,,,,,,,,,,
4/20/2026 11:29:08,Student,16,10,5,3,3,1,4,No,No,People who are under 18 do not have the maturity to make their own decisions rather than be influenced by those around him. ,5,2,1,I know that overall his agenda is to try and bring the city back to life. He so far has started by putting his effort into cleaning up the city and trying to solve the homeless and drug problem. Overall he has promised to balance the budget will hopefully be able to make significant budget cuts. ,"Social media (TikTok, Instagram, X), Traditional news (NYT, WSJ, SF Chronicle), Family or friends",,,,,,,,,,,,
4/20/2026 11:31:53,Faculty or Staff,Adult,,3,4,,,,Yes,Yes,,,,,,,Sciences,11–20,3,4,Yes,Yes,"Youth deserve a vote! If you can work, drive, etc. you deserve to vote for people and policies that impact your working rights, infrastructure, etc.!",3,4,"Mature enough, yes typically. But often students are simply not well-informed on politics,  especially local issues - I suspect because they have no buy-in without a vote!! If they knew they could vote, they would pay more attention.","Students need a general understanding of geography & populations locally and nationally.

They need an understanding of their rights, especially voting rights. They need an understanding of the positions that are open for election and what those roles contribute to the city, state, and federal government.

I don't think they need to know voting trends, but rather need to be informed about the current candidates through unbiased profiles and also given unbiased description of the Props. California and SF has more proposals than I've ever seen on other state/city ballots, so digesting all that can be really hard!","Social media (TikTok, Instagram, X), Traditional news (NYT, WSJ, SF Chronicle)"
4/20/2026 11:41:36,Student,15,10,2,2,2,2,5,Yes,Yes,I think its important for everyones voices to be heard and at age 16 I think it is a good age.,2,3,3,,"Podcasts, Traditional news (NYT, WSJ, SF Chronicle), Family or friends, Other",,,,,,,,,,,,
4/20/2026 11:54:29,Student,15,9,2,3,1,1,5,Yes,Unsure,I feel like many federal voters would not do proper research and would vote in ignorance which is dangerous but the youth is also part of society and deserves to have a say.,5,3,3,my friends dad and voting no to prop 7 or something like that and ya,"Social media (TikTok, Instagram, X), YouTube, Traditional news (NYT, WSJ, SF Chronicle), Family or friends",,,,,,,,,,,,
4/20/2026 11:56:06,Student,17,11,3,3,2,1,4,Unsure,No,"I do belive that 18 is a good age to vote federally, and I think that sophmores in HS may be a little young, especially if they are not as informed/ more easily influenced by enviornments then actual opinions. ",5,2,1,I think he's donig a great job with exposure and action on issues he said he would help with as well as getting SF back as a thriving city. ,"Social media (TikTok, Instagram, X), Traditional news (NYT, WSJ, SF Chronicle), Family or friends, School",,,,,,,,,,,,
4/20/2026 11:58:07,Student,17,11,2,2,1,1,5,No,No,No. I don't think 16 and 17 year olds are quite ready to do their own research and come to their own conclusions. ,3,2,2,I know that he shows up for everything to increase moral and to make sure things get done. He is an optimist. ,"YouTube, Traditional news (NYT, WSJ, SF Chronicle), Family or friends",,,,,,,,,,,,
4/20/2026 12:05:09,Student,16,10,1,2,1,1,5,Unsure,No,18 still feels like the reasonable age,5,2,3,,"Social media (TikTok, Instagram, X), Traditional news (NYT, WSJ, SF Chronicle), Family or friends",,,,,,,,,,,,
4/20/2026 12:08:44,Student,17,12,3,4,1,2,4,No,No,"less developed prefrontal cortex, even more vulnerable to manipulation and polarizing influence --> less rational populus",5,2,1,"mayor daniel lurie’s basically running on a ""common-sense"" moderate scheme rn, mostly focused on cleaning up the streets and making city hall more efficient. his big north star is public safety, so he’s pushing for more shelter beds and a crack down on the fentanyl crisis and sideshows. he’s also trying to revive downtown by turning empty offices into housing and even launched a ""family opportunity"" plan for things like free childcare. honestly, he’s got a massive $643 million budget deficit to deal with, so he’s making some tough cuts while also pitching a major ballot measure for the fall to overhaul how the city's charter works.","Social media (TikTok, Instagram, X), Podcasts, Traditional news (NYT, WSJ, SF Chronicle), Family or friends",,,,,,,,,,,,
4/20/2026 12:21:04,Student,15,9,4,5,3,3,5,Yes,Yes,Sixteen year olds should have enough level of understanding to vote. Plenty of adults who are not educated on elections are allowed to.,5,4,3,,"Social media (TikTok, Instagram, X), Traditional news (NYT, WSJ, SF Chronicle), Family or friends, School, Other",,,,,,,,,,,,
4/20/2026 12:36:57,Faculty or Staff,Adult,,4,4,,,,Yes,Unsure,,,,,,,Mathematics,20+,4,4,Yes,Unsure,Growing up (and frequently visiting family) in rural Washington State has helped me appreciate just how well read and involved San Francisco based teens are in local political and national/global social justice movements in ways that don't exist everywhere in our country. ,5,3,Same explanation as above!,Empathy,"Traditional news (NYT, WSJ, SF Chronicle), Other"
4/20/2026 12:41:28,Student,17,11,2,4,1,1,4,Yes,Yes,Because 2 years is not a lot of time and it would allow younger people a voice when they are the future. ,5,3,5,Ik the mayor is rly cleaning up downtown,"Podcasts, Traditional news (NYT, WSJ, SF Chronicle)",,,,,,,,,,,,
4/20/2026 13:11:42,Student,15,9,1,3,1,1,5,Yes,No,16 year olds are mature enough to for their city elections but not for federal elections.,4,4,2,The mayor is democratic and his name is Daniel Lurie,"YouTube, Traditional news (NYT, WSJ, SF Chronicle), Family or friends, School",,,,,,,,,,,,
4/20/2026 13:26:01,Student,15,9,4,5,1,1,4,No,No,"I think not because 18 is the perfect age. those in army can vote and any younger, i don't think we are ready.",3,1,3,,"Social media (TikTok, Instagram, X), YouTube, Traditional news (NYT, WSJ, SF Chronicle), Family or friends, School",,,,,,,,,,,,
4/20/2026 13:33:20,Student,14,9,5,5,1,1,1,No,No,"Because the pre-frontal cortex isn't fully developed by age 16, and I think the legal voting age should be 18+ still, because you will have at least a completed high school education, and education is valuable to political voice and opinion",5,4,4,"I know that Daniel Lurie focuses on lowering homelessness rates in San Francisco,  promoting San Francisco tourism by advertising and advocating for small business establishments in SF, and lowering crime/illegal drug rates.","YouTube, Traditional news (NYT, WSJ, SF Chronicle), Family or friends, School",,,,,,,,,,,,
4/20/2026 13:46:59,Student,17,11,4,4,1,1,5,No,Yes,"I feel like local politics have greater effect on my everyday life than federal politics do. As a result, I'd prefer if the local votes were kept at 18 (so people are less likely to make snap judgements and be influenced by their peers).",5,2,4,Daniel Lurie! Supporting small businesses and moving away from DEI work to focus on actually improving schools etc,"Traditional news (NYT, WSJ, SF Chronicle), Family or friends",,,,,,,,,,,,
4/20/2026 14:12:57,Student,16,10,3,4,2,2,3,Yes,No,"I think it would be fine for the age of local voters to be under 18, as they contribute more to city policies, but we don’t contribute to federal ",5,5,4,"His name is Daniel Lurie, his daughter goes to UHS, he’s generally pretty public ","Traditional news (NYT, WSJ, SF Chronicle), Family or friends",,,,,,,,,,,,
4/20/2026 14:47:30,Student,17,11,2,3,2,1,5,Unsure,No,some people may be too uneducated to vote and would be mostly influenced by their parents,4,4,3,,"Social media (TikTok, Instagram, X), YouTube, Family or friends, School",,,,,,,,,,,,
4/20/2026 14:56:03,Student,15,9,4,4,3,1,4,Yes,Yes,I feel as if the youth in general don’t have much to any say in all politics. It difficult to be taken seriously or have anyone listen to you. Changing the age would give some say to the younger community.,5,3,4,I currently do not closely follow the SF mayor. I did see he was recently in Beijing meeting with Chinese officials. He also has brought many new shops and events to SF. He is also trying to revamp downtown to what I have heard ,"Social media (TikTok, Instagram, X)",,,,,,,,,,,,
4/20/2026 14:59:46,Student,14,9,2,4,1,2,5,Yes,No,"I think a 16-year-old is responsible enough to vote for local issues that affect them more directly, and a way to do this should be by lowering the local voting age. However, I think that the federal voting age should stay the same because federal issues are more important for world politics, and it should probably be decided by people who are more mature.",5,4,2,,"Podcasts, Traditional news (NYT, WSJ, SF Chronicle), Family or friends, School",,,,,,,,,,,,
4/20/2026 15:00:52,Faculty or Staff,Adult,,4,4,,,,Unsure,Unsure,,,,,,,Mathematics,11–20,4,4,Unsure,Unsure,Many teens are not yet aware of the patterns  of economics and finances.,3,2,"Many of my students get their information based on current events or social media, so that does not provide a rich foundation of knowledge.  Of course, many adults also have a low level of understanding but why add to the voting pool of uninformed voters??",,"Traditional news (NYT, WSJ, SF Chronicle), Other"
4/20/2026 17:43:56,Student,17,12,2,3,1,1,4,No,No,The average teenage male's brain is not developed enough to be making thoes kind of decisions at 16. ,5,2,2,,Family or friends,,,,,,,,,,,,
4/20/2026 19:16:29,Student,15,9,2,3,1,1,4,Unsure,Unsure,Idk,3,3,3,Likes to post on IG,"Social media (TikTok, Instagram, X), YouTube, Family or friends, School",,,,,,,,,,,,
4/20/2026 19:33:21,Faculty or Staff,Adult,,3,4,,,,Yes,Yes,,,,,,,Mathematics,3–5,3,4,Yes,Yes,"I have a social science background. We know that it is challenging to generate turnout among younger voters, and that they are underrepresented in the electorate (https://www.pewresearch.org/politics/2025/06/26/voter-turnout-2020-2024/). I'm also not so sure that I'm overly concerned about arguments that young people may just follow their parents' preferences. We know that the number one predictor for partisanship is parents' partisanship, so to the extent that it's a concern, it's a concern for all voters. My hope with lowering the voting age would be that by encouraging early voting, voting would become habit forming. If people started voting from age 16, by the time they grow up, voting and civic engagement may become more habitual than they would be otherwise which would be a net good for our democracy. ",3,3,"I think there are certainly students who lack the readiness and maturity to vote. However, political knowledge tends to be low in the broader population as well. Tests of political knowledge reveal that a large segment of the electorate tends to make uninformed voting decisions. As such, I'm not sure that problem is unique to students. Furthermore, I would support lowering the voting age in conjunction with improved civics education to better educate students on their responsibilities and how to analyze local and federal elections to make informed decisions based on their values. ","I definitely value the ability to analyze complex issues and data from multiple perspectives. There is a lot of misinformation out there, so I believe its fundamental for voters to be able to think critically about the information that is being presented to them. ","Social media (TikTok, Instagram, X), YouTube, Podcasts, Traditional news (NYT, WSJ, SF Chronicle), Family or friends"
4/20/2026 19:40:33,Student,17,11,3,3,1,1,3,No,No,"If anything, we should raise the voting age. Many are not equipped to make informed decisions at any point in their life, much less at 16. Even at UHS, a highly selective school filled with generally intelligent and capable people, a small percentage are informed enough to make a decision on an election. ",2,1,1,Lurie is highly popular. Working on reducing crime and homelessness. Helping small businesses and returning to common-sense policies. ,"Social media (TikTok, Instagram, X), Traditional news (NYT, WSJ, SF Chronicle)",,,,,,,,,,,,
4/20/2026 20:22:03,Student,16,10,2,3,1,1,5,Yes,No,no because it think some people would take it as a joke however i think san francisco kids wouldn't,5,3,4,,"Traditional news (NYT, WSJ, SF Chronicle), Family or friends, School",,,,,,,,,,,,
4/20/2026 22:14:58,Student,16,10,2,3,1,1,4,No,No,"I feel like some would just mess around or not do any reasearch and solely base it off of tiktoks, instagrams, or just any socaik media. Kids like myself are easily influenced by social media.",4,2,2,"idk i just see him kinda being an influencer, haven't been keeping up with sf politics.","Social media (TikTok, Instagram, X), Family or friends",,,,,,,,,,,,
4/20/2026 22:37:20,Student,15,9,4,3,1,1,4,No,No,"I feel like when kids are only 16 they are not yet developed enough to make these big decisions, and can still be easily influenced by others around them.",5,2,3,,"Social media (TikTok, Instagram, X), Family or friends, School",,,,,,,,,,,,
4/20/2026 22:49:57,Student,16,10,4,4,1,1,4,No,No,"I feel as though many teens my age may act impulsively, and haven't fully figured out who they are yet. I think that teens should first learn who they are through experiences to then vote for the leaders of America. ",3,3,2,,"Traditional news (NYT, WSJ, SF Chronicle), Family or friends",,,,,,,,,,,,
4/21/2026 7:45:50,Student,14,9,3,4,1,1,3,Yes,Yes,"I think it would be important for younger generations to have a say in whats going in the state, and in the country",4,4,4,The current sf mayor is helping out the city a lot more than our previous one,"Social media (TikTok, Instagram, X), YouTube, Traditional news (NYT, WSJ, SF Chronicle), Family or friends",,,,,,,,,,,,
4/21/2026 12:01:32,Student,17,11,2,4,1,1,4,Yes,Yes,"We have grown our own critical thinking skills and can therefore make decisions on who we think will best represent us in office. As young people, we are disproportionately affected by the long term implications of certain policies and should therefore be allowed a say in them along with older populations who will not be around to face the effects.",3,2,5,Not much besides that he's a democrat ,"Social media (TikTok, Instagram, X), Traditional news (NYT, WSJ, SF Chronicle), Family or friends",,,,,,,,,,,,
4/21/2026 12:12:06,Faculty or Staff,Adult,,3,3,,,,Yes,Yes,,,,,,,Mathematics,20+,3,3,Yes,Yes,"I think many 16 year olds are very well educated on politics. Also, if people start voting at age 16, school can provide resources on what it looks like to be an educated voter, how to register, and how to cast a ballot. I think it would bring good habits to students before they leave high school.",4,4,I think students are motivated and ready to start voting. ,,"Traditional news (NYT, WSJ, SF Chronicle)"
4/27/2026 8:34:58,Student,18,12,5,4,4,4,3,Unsure,Unsure,A lot of youth aren't well educated or informed about politics so they make dumb decisions sometimes.,5,3,2,"Not representing the interest of minority people, only the wealthy tech-billionaire agenda. Family zoning plan is a big NO because it displaces a lot of low-income families. ","Social media (TikTok, Instagram, X), YouTube, Traditional news (NYT, WSJ, SF Chronicle), Family or friends, School",,,,,,,,,,,,
4/27/2026 8:35:49,Student,18,12,2,3,3,2,4,No,No,I would almost argue that the voting age should be higher than 18 due to the fact that many 18 year olds are in high school and aren’t contributing to society (including myself) in the same way a 30 year old is,1,2,2,,"Social media (TikTok, Instagram, X), Podcasts, Traditional news (NYT, WSJ, SF Chronicle), Family or friends",,,,,,,,,,,,
4/27/2026 9:21:33,Student,18,12,4,4,4,3,4,No,No,Not mature enough,5,3,3,,"Social media (TikTok, Instagram, X), Traditional news (NYT, WSJ, SF Chronicle), Family or friends, School",,,,,,,,,,,,